sexname,sex,age,value
Female,2,0-5 YEARS OF AGE,15613
Male,1,0-5 YEARS OF AGE,16339
Female,2,05-9 YEARS OF AGE,16800
Male,1,05-9 YEARS OF AGE,17854
Female,2,10-14 YEARS OF AGE,18286
Male,1,10-14 YEARS OF AGE,19351
Female,2,15-17 YEARS OF AGE,12186
Male,1,15-17 YEARS OF AGE,12804
Female,2,18-19 YEARS OF AGE,10167
Male,1,18-19 YEARS OF AGE,10855
Female,2,20-21 YEARS OF AGE,9660
Male,1,20-21 YEARS OF AGE,10424
Female,2,22-24 YEARS OF AGE,11509
Male,1,22-24 YEARS OF AGE,12258
Female,2,25-29 YEARS OF AGE,17728
Male,1,25-29 YEARS OF AGE,17713
Female,2,30-34 YEARS OF AGE,17273
Male,1,30-34 YEARS OF AGE,16908
Female,2,35-39 YEARS OF AGE,18376
Male,1,35-39 YEARS OF AGE,17982
Female,2,40-44 YEARS OF AGE,21398
Male,1,40-44 YEARS OF AGE,20603
Female,2,45-49 YEARS OF AGE,25596
Male,1,45-49 YEARS OF AGE,24514
Female,2,50-54 YEARS OF AGE,26720
Male,1,50-54 YEARS OF AGE,25773
Female,2,55-59 YEARS OF AGE,24834
Male,1,55-59 YEARS OF AGE,23905
Female,2,60-61 YEARS OF AGE,8787
Male,1,60-61 YEARS OF AGE,8847
Female,2,62-64 YEARS OF AGE,11838
Male,1,62-64 YEARS OF AGE,11762
Female,2,65-66 YEARS OF AGE,6514
Male,1,65-66 YEARS OF AGE,6305
Female,2,67-69 YEARS OF AGE,8490
Male,1,67-69 YEARS OF AGE,8081
Female,2,70-74 YEARS OF AGE,10614
Male,1,70-74 YEARS OF AGE,9534
Female,2,75-79 YEARS OF AGE,8852
Male,1,75-79 YEARS OF AGE,7108
Female,2,80-84 YEARS OF AGE,7600
Male,1,80-84 YEARS OF AGE,5183
Female,2,85 YEARS OF AGE AND OVER,8694
Male,1,85 YEARS OF AGE AND OVER,4103
